InstructionList,EOF
Instruction,enter
Instruction,InstructionList
Enter,InstructionList
Signature,Annotation
Signature,Instruction
Signature,annotation
Annotation,Instruction
Expression,Signature
Expression,comma
Expression,plus
Expression,minus
Expression,multiplication
Expression,division
Expression,equals
Expression,different
Expression,lesser
Expression,lesser_or_equal
Expression,greater
Expression,greater_or_equal
Expression,and
Expression,or
Expression,mod
Expression,close_parenthesis
Expression,close_square_bracket
UnaryOp,pr_d
UnaryOp,pr_h
UnaryOp,pr_actual
UnaryOp,pr_libre
UnaryOp,identifier
UnaryOp,pr_pc
UnaryOp,pr_po
UnaryOp,open_parenthesis
UnaryOp,int
ExpressionRemainder,Expression
String,Expression
BinaryOp,UnaryOp
BinaryOp,plus
BinaryOp,minus
BinaryOp,not
Operand,Expression
